name,fold,feature_set,n_features,head_type,arch,r2_uniform,mae_mean_pp,best_val_loss,n_epochs,elapsed_s,n_train,n_test
bi_Gab2_DMP_plain_silu_L5_d1024_bn,0,bi_Gab2_DMP,1566,softmax,plain_L5_d1024,0.8377177119255066,2.6849372312426567,0.4117167592048645,713,100.49025797843932,16530,6100
bi_Gab2_DMP_plain_silu_L5_d1024_bn_dirichlet,0,bi_Gab2_DMP,1566,dirichlet,plain_L5_d1024,-6.5332465171813965,27.718552947044373,-3216690.25,1049,155.3079159259796,16530,6100
bi_Gab2_DMP_plain_silu_L5_d1536_bn,0,bi_Gab2_DMP,1566,softmax,plain_L5_d1536,0.8497005105018616,2.6553528383374214,0.4097142219543457,1210,166.0197401046753,16530,6100
bi_Gab2_DMP_plain_silu_L7_d1024_bn,0,bi_Gab2_DMP,1566,softmax,plain_L7_d1024,0.8017187714576721,2.705039829015732,0.4097402095794678,653,105.79703998565674,16530,6100
bi_Gab2_DMP_plain_silu_L5_d1536_bn_dirichlet,0,bi_Gab2_DMP,1566,dirichlet,plain_L5_d1536,-9.336976051330566,26.806363463401794,-2573397.75,922,134.87004399299622,16530,6100
bi_LBP_Gab2_DMP_plain_silu_L5_d1024_bn,0,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1024,0.8377370834350586,2.6999490335583687,0.4105278253555298,871,113.27847909927368,16530,6100
bi_LBP_Gab2_DMP_plain_silu_L5_d1536_bn,0,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1536,0.814176619052887,2.6544034481048584,0.4090785086154938,1063,147.01572227478027,16530,6100
bi_Gab2_DMP_plain_silu_L5_d2048_bn,0,bi_Gab2_DMP,1566,softmax,plain_L5_d2048,0.829624354839325,2.777261845767498,0.40748777985572815,939,183.7044014930725,16530,6100
bi_Gab2_DMP_plain_silu_L7_d1536_bn,0,bi_Gab2_DMP,1566,softmax,plain_L7_d1536,0.7877799868583679,2.8468677774071693,0.40861648321151733,1069,201.19816732406616,16530,6100
bi_LBP_Gab2_DMP_plain_silu_L5_d2048_bn,0,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d2048,0.8280337452888489,2.7213620021939278,0.40659183263778687,899,152.12298679351807,16530,6100
bi_Gab2_DMP_plain_silu_L5_d1024_bn,1,bi_Gab2_DMP,1566,softmax,plain_L5_d1024,0.7462337017059326,3.4786026924848557,0.40125247836112976,704,109.64461040496826,18731,6000
bi_Gab2_DMP_plain_silu_L5_d1536_bn,1,bi_Gab2_DMP,1566,softmax,plain_L5_d1536,0.7468717098236084,3.5589057952165604,0.40373480319976807,698,117.71338701248169,18731,6000
bi_Gab2_DMP_plain_silu_L5_d2048_bn,1,bi_Gab2_DMP,1566,softmax,plain_L5_d2048,0.7384662628173828,3.703153505921364,0.4028691053390503,616,115.37025117874146,18731,6000
bi_Gab2_DMP_plain_silu_L7_d1024_bn,1,bi_Gab2_DMP,1566,softmax,plain_L7_d1024,0.7549352049827576,3.4985139966011047,0.40142887830734253,577,112.44370412826538,18731,6000
bi_Gab2_DMP_plain_silu_L7_d1536_bn,1,bi_Gab2_DMP,1566,softmax,plain_L7_d1536,0.7504558563232422,3.529147431254387,0.4002336263656616,660,134.5110363960266,18731,6000
bi_LBP_Gab2_DMP_plain_silu_L5_d1024_bn,1,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1024,0.7377920150756836,3.5875502973794937,0.40338650345802307,562,89.0530948638916,18731,6000
bi_LBP_Gab2_DMP_plain_silu_L5_d1536_bn,1,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1536,0.7584071755409241,3.5047393292188644,0.4028816819190979,602,99.85677242279053,18731,6000
bi_LBP_Gab2_DMP_plain_silu_L5_d2048_bn,1,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d2048,0.7413337230682373,3.583570197224617,0.4015747606754303,1048,198.78395295143127,18731,6000
bi_Gab2_DMP_plain_silu_L5_d1024_bn,2,bi_Gab2_DMP,1566,softmax,plain_L5_d1024,0.7607459425926208,1.6488637775182724,0.456767737865448,586,95.62946105003357,18700,5866
bi_Gab2_DMP_plain_silu_L5_d1536_bn,2,bi_Gab2_DMP,1566,softmax,plain_L5_d1536,0.7348822951316833,1.707688719034195,0.45546963810920715,542,91.38755130767822,18700,5866
bi_Gab2_DMP_plain_silu_L5_d2048_bn,2,bi_Gab2_DMP,1566,softmax,plain_L5_d2048,0.6621814370155334,1.7719754949212074,0.457267701625824,539,101.82951021194458,18700,5866
bi_Gab2_DMP_plain_silu_L7_d1024_bn,2,bi_Gab2_DMP,1566,softmax,plain_L7_d1024,0.6865691542625427,1.7136214300990105,0.45630377531051636,552,106.19131445884705,18700,5866
bi_Gab2_DMP_plain_silu_L7_d1536_bn,2,bi_Gab2_DMP,1566,softmax,plain_L7_d1536,0.6832852363586426,1.758061721920967,0.4568603038787842,557,114.96009802818298,18700,5866
bi_LBP_Gab2_DMP_plain_silu_L5_d1024_bn,2,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1024,0.7224254608154297,1.7490698024630547,0.45660582184791565,530,86.27180457115173,18700,5866
bi_LBP_Gab2_DMP_plain_silu_L5_d1536_bn,2,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1536,0.717009961605072,1.7971441149711609,0.45827704668045044,539,91.20930671691895,18700,5866
bi_LBP_Gab2_DMP_plain_silu_L5_d2048_bn,2,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d2048,0.6734445095062256,1.752268709242344,0.45794618129730225,550,105.2492413520813,18700,5866
bi_Gab2_DMP_plain_silu_L5_d1024_bn,3,bi_Gab2_DMP,1566,softmax,plain_L5_d1024,0.6641002893447876,3.752117231488228,0.36771517992019653,738,119.98608088493347,18655,5900
bi_Gab2_DMP_plain_silu_L5_d1536_bn,3,bi_Gab2_DMP,1566,softmax,plain_L5_d1536,0.5669199824333191,3.889847919344902,0.37000101804733276,565,95.95046877861023,18655,5900
bi_Gab2_DMP_plain_silu_L5_d2048_bn,3,bi_Gab2_DMP,1566,softmax,plain_L5_d2048,0.6583473682403564,4.015029221773148,0.37063729763031006,669,127.52925515174866,18655,5900
bi_Gab2_DMP_plain_silu_L7_d1024_bn,3,bi_Gab2_DMP,1566,softmax,plain_L7_d1024,0.49363914132118225,3.9487507194280624,0.3704861104488373,731,143.93253827095032,18655,5900
bi_Gab2_DMP_plain_silu_L7_d1536_bn,3,bi_Gab2_DMP,1566,softmax,plain_L7_d1536,0.6501378417015076,3.9653263986110687,0.3699295222759247,966,198.6319763660431,18655,5900
bi_LBP_Gab2_DMP_plain_silu_L5_d1024_bn,3,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1024,0.4121735095977783,3.9728913456201553,0.3702119290828705,603,94.92954659461975,18655,5900
bi_LBP_Gab2_DMP_plain_silu_L5_d1536_bn,3,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1536,0.6579843759536743,3.9977993816137314,0.37088140845298767,606,100.70861864089966,18655,5900
bi_LBP_Gab2_DMP_plain_silu_L5_d2048_bn,3,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d2048,0.6783750653266907,3.9856266230344772,0.3694728910923004,651,123.31634044647217,18655,5900
bi_Gab2_DMP_plain_silu_L5_d1024_bn,4,bi_Gab2_DMP,1566,softmax,plain_L5_d1024,0.782102108001709,1.198766753077507,0.5035385489463806,659,86.72159361839294,16326,6080
bi_Gab2_DMP_plain_silu_L5_d1536_bn,4,bi_Gab2_DMP,1566,softmax,plain_L5_d1536,0.7451305389404297,1.1704499833285809,0.5033631324768066,655,89.75780129432678,16326,6080
bi_Gab2_DMP_plain_silu_L5_d2048_bn,4,bi_Gab2_DMP,1566,softmax,plain_L5_d2048,0.7742490172386169,1.1880826205015182,0.5037842988967896,650,101.6378436088562,16326,6080
bi_Gab2_DMP_plain_silu_L7_d1024_bn,4,bi_Gab2_DMP,1566,softmax,plain_L7_d1024,0.7353737354278564,1.22476601973176,0.5036333203315735,660,104.40124893188477,16326,6080
bi_Gab2_DMP_plain_silu_L7_d1536_bn,4,bi_Gab2_DMP,1566,softmax,plain_L7_d1536,0.7468284964561462,1.159349549561739,0.5039064884185791,676,112.23033404350281,16326,6080
bi_LBP_Gab2_DMP_plain_silu_L5_d1024_bn,4,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1024,0.7038626670837402,1.1806625872850418,0.5067740678787231,674,89.27182579040527,16326,6080
bi_LBP_Gab2_DMP_plain_silu_L5_d1536_bn,4,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d1536,0.7758450508117676,1.251650881022215,0.5044284462928772,642,87.2804319858551,16326,6080
bi_LBP_Gab2_DMP_plain_silu_L5_d2048_bn,4,bi_LBP_Gab2_DMP,1632,softmax,plain_L5_d2048,0.7471166253089905,1.2218479067087173,0.5038807392120361,649,99.01737856864929,16326,6080
