name,fold,feature_set,n_features,r2_uniform,mae_mean_pp,best_val_loss,n_epochs,elapsed_s
bi_LBP_NIR_plain_silu_L5_d1024_bn,0,bi_LBP_NIR,864,0.8248355984687805,2.6620035991072655,0.40643495321273804,694,80.7
bi_LBP_all5_plain_silu_L5_d1024_bn,0,bi_LBP_all5,1128,0.7813766598701477,2.726123481988907,0.411854088306427,683,74.3
bi_LBP_NIR_plain_silu_L5_d1024_bn,1,bi_LBP_NIR,864,0.7541491389274597,3.5055164247751236,0.39976686239242554,621,82.5
bi_LBP_all5_plain_silu_L5_d1024_bn,1,bi_LBP_all5,1128,0.7275028228759766,3.596532717347145,0.4062787592411041,642,92.3
bi_LBP_NIR_plain_silu_L5_d1024_bn,2,bi_LBP_NIR,864,0.7574302554130554,1.7055362462997437,0.4508705139160156,583,71.3
bi_LBP_all5_plain_silu_L5_d1024_bn,2,bi_LBP_all5,1128,0.7217922210693359,1.7457393929362297,0.46004241704940796,536,66.1
bi_LBP_NIR_plain_silu_L5_d1024_bn,3,bi_LBP_NIR,864,0.4719867706298828,3.73736210167408,0.3638851046562195,678,83.6
bi_LBP_all5_plain_silu_L5_d1024_bn,3,bi_LBP_all5,1128,0.6806735396385193,3.7303507328033447,0.37069833278656006,602,77.4
bi_LBP_NIR_plain_silu_L5_d1024_bn,4,bi_LBP_NIR,864,0.7373033165931702,1.1933003552258015,0.49750617146492004,679,70.1
bi_LBP_all5_plain_silu_L5_d1024_bn,4,bi_LBP_all5,1128,0.8055940270423889,1.2075706385076046,0.5051173567771912,662,65.8
