name,r2_mean,r2_std,mae_mean,epochs_mean,folds,feature_set,arch,activation,arch_family
best5_residual_silu_L12_d1024_bn_lr0.0005,0.7407660484313965,0.04585763195664436,2.751589845865965,680.2,5,best5,residual,silu,deep+wide
best5_v2_residual_silu_L12_d256_bn,0.7388035297393799,0.045322581119885935,2.627210896462202,665.4,5,best5_v2,residual,silu,deep
best5_residual_silu_L11_d1024_bn_lr0.0005,0.7374237775802612,0.06270461616398759,2.782022636383772,730.4,5,best5,residual,silu,deep+wide
best5_v2_residual_silu_L10_d1024_bn_lr0.0005,0.7372173070907593,0.03247740029972942,2.6343346759676933,760.8,5,best5_v2,residual,silu,deep+wide
best5_v2_residual_silu_L20_d256_bn_lr0.0005,0.7300855994224549,0.07992189356437979,2.578467931598425,719.8,5,best5_v2,residual,silu,deep
best5_residual_silu_L12_d256_bn,0.7222683668136597,0.04649968328329026,2.7655251510441303,671.4,5,best5,residual,silu,deep
best5_plain_silu_L5_d1024_bn,0.720627510547638,0.07888551935651136,2.721085473895073,631.2,5,best5,plain,silu,wide
best5_v2_plain_silu_L5_d2048_bn_lr0.0005,0.7200949311256408,0.0845648141851087,2.61249590665102,680.8,5,best5_v2,plain,silu,wide
best5_residual_silu_L16_d256_bn_lr0.0005,0.7140661597251892,0.06014437005891289,2.7095074392855167,724.6,5,best5,residual,silu,deep
best5_v2_plain_silu_L5_d1024_bn,0.7104377746582031,0.09915433142934862,2.5992302037775517,661.4,5,best5_v2,plain,silu,wide
best5_v2_residual_silu_L12_d1024_bn_lr0.0005,0.7093398809432984,0.08758893321140486,2.681682538241148,707.4,5,best5_v2,residual,silu,deep+wide
best5_residual_silu_L10_d1024_bn_lr0.0005,0.7088171482086182,0.04685916624005073,2.7936029620468616,724.8,5,best5,residual,silu,deep+wide
best5_plain_silu_L5_d2048_bn_lr0.0005,0.699340558052063,0.0842977900355852,2.7389847673475742,658.2,5,best5,plain,silu,wide
best5_v2_residual_silu_L16_d256_bn_lr0.0005,0.6798399686813354,0.10184862373958202,2.633218541741371,724.2,5,best5_v2,residual,silu,deep
best5_residual_silu_L20_d256_bn_lr0.0005,0.6741450190544128,0.08338779048840252,2.7197671681642532,709.4,5,best5,residual,silu,deep
best5_v2_residual_silu_L11_d1024_bn_lr0.0005,0.604929443448782,0.3199228134887846,2.659629937261343,752.4,5,best5_v2,residual,silu,deep+wide
