name,r2_mean,r2_std,mae_mean,epochs_mean,folds,arch,arch_family
bi_glcm_morph_residual_silu_L20_d256_bn_lr0.0005,0.7589826107025146,0.05466862208240978,2.554161846637726,707.8,5,residual,deep
bi_glcm_morph_residual_silu_L16_d256_bn_lr0.0005,0.7448400974273681,0.047783389545980125,2.56711408495903,719.6,5,residual,deep
bi_glcm_morph_residual_silu_L10_d1024_bn_lr0.0005,0.7432688474655151,0.05318305964810528,2.633145432919264,672.8,5,residual,deep+wide
bi_glcm_morph_residual_silu_L12_d256_bn,0.7334201097488403,0.05468164452538159,2.5486517511308193,688.0,5,residual,deep
bi_glcm_morph_residual_silu_L11_d1024_bn_lr0.0005,0.7190917611122132,0.07178385305704407,2.5656641833484173,723.0,5,residual,deep+wide
bi_glcm_morph_plain_silu_L5_d2048_bn_lr0.0005,0.7132232189178467,0.12209876389449514,2.5707117654383183,696.4,5,plain,wide
bi_glcm_morph_plain_silu_L5_d1024_bn,0.7074599981307983,0.11671133603589477,2.556209471076727,643.8,5,plain,wide
bi_glcm_morph_residual_silu_L10_d256_nonorm,0.7004153609275818,0.07544468362586446,2.597757875919342,596.8,5,residual,v5_champion
bi_glcm_morph_plain_silu_L5_d512_bn,0.6993746280670166,0.1128711878954479,2.541014552116394,697.4,5,plain,v5_champion
bi_glcm_morph_residual_silu_L12_d1024_bn_lr0.0005,0.69549640417099,0.06696803420305479,2.614559940993786,669.6,5,residual,deep+wide
