model,dominant_class,n_cells,mae_pp,mae_std_pp,aitchison_mean,r2_uniform
MLP,tree_cover,14354,1.5680054051154035,2.486127273986159,7.3212263854507675,0.633534977467913
MLP,grassland,2240,4.885998843164627,4.667652535082489,8.52836378422955,0.33663888200390496
MLP,cropland,3129,4.66020111246855,5.032021767197974,8.542927037823445,0.08112535188111109
MLP,built_up,9948,2.50854192059488,2.579997226983669,8.085190062307971,0.46305120072623995
MLP,bare_sparse,28,13.812572578830157,6.90221612914222,10.645291702375854,-1.9565522725541513
MLP,water,247,5.116567835412371,4.524456194704367,9.327041123878049,0.2522522311453351
LightGBM,tree_cover,14354,1.705005328425302,2.4392758473617695,7.793126293788069,0.5926440499679405
LightGBM,grassland,2240,5.660541390611819,4.303000289427907,9.528919796220968,0.3119742352921078
LightGBM,cropland,3129,7.243898248500268,4.577784065901716,10.725739352581476,-0.48222571977802736
LightGBM,built_up,9948,2.784064275053563,2.4876998756827113,9.054713252809405,0.3970174109040272
LightGBM,bare_sparse,28,14.816519640698104,5.9086915508689355,10.789372757731359,-1.8303513523497372
LightGBM,water,247,5.863691075380489,4.407769703377261,11.121622701798124,0.13610022815953973
