model,season_dropped,r2,mae_pp,n_zeroed
MLP,none,0.8334160639364185,2.492450132250389,0
MLP,2020_autumn,-0.6531205764144551,15.18805919891644,144
MLP,2020_spring,-9.091090949458273,19.234600776557755,144
MLP,2020_summer,-0.5637738340435592,13.95477555919176,144
MLP,2021_autumn,0.3494639090847942,8.206919974606091,144
MLP,2021_spring,-0.000379237654174136,10.10267091255752,144
MLP,2021_summer,-1.805636674737296,12.10368699718831,144
LightGBM,none,0.8099165196362902,2.9846551283154996,0
LightGBM,2020_autumn,-1.62231880198967,10.561449746421241,73
LightGBM,2020_spring,-4.799763613938302,14.58927610161167,73
LightGBM,2020_summer,0.6456366172536671,6.472066424668041,73
LightGBM,2021_autumn,0.6971222500503527,5.853355725501658,73
LightGBM,2021_spring,-1.0623696607737632,10.668888843770711,73
LightGBM,2021_summer,-0.566150623551402,11.832906162003223,73
